Timestamp,Battery_Temp_C,Motor_Vibration_g,Current_Draw_A,Altitude_m,Voltage_V
2026-09-10T10:00:00Z,28.2,0.12,12.4,0.0,16.8
2026-09-10T10:01:00Z,28.5,0.13,13.1,5.2,16.7
2026-09-10T10:02:00Z,29.1,0.14,14.2,10.5,16.7
2026-09-10T10:03:00Z,29.5,0.13,14.5,18.0,16.6
2026-09-10T10:04:00Z,30.0,0.15,15.0,25.2,16.5
2026-09-10T10:05:00Z,30.4,0.14,14.9,38.5,16.5
2026-09-10T10:06:00Z,30.8,0.13,14.8,50.1,16.4
2026-09-10T10:07:00Z,31.1,0.15,15.0,65.0,16.3
2026-09-10T10:08:00Z,31.4,0.16,15.1,75.0,16.3
2026-09-10T10:09:00Z,31.7,0.14,15.0,88.2,16.2
2026-09-10T10:10:00Z,31.9,0.14,14.9,100.2,16.1
2026-09-10T10:11:00Z,32.1,0.15,15.0,100.1,16.1
2026-09-10T10:12:00Z,32.3,0.15,15.0,100.0,16.0
2026-09-10T10:13:00Z,32.5,0.14,14.8,100.0,16.0
2026-09-10T10:14:00Z,32.6,0.13,14.7,99.8,15.9
2026-09-10T10:15:00Z,32.8,0.14,14.8,99.9,15.8
2026-09-10T10:16:00Z,32.9,0.14,14.8,99.9,15.8
2026-09-10T10:17:00Z,33.0,0.13,14.7,85.0,15.7
2026-09-10T10:18:00Z,33.1,0.15,14.6,70.3,15.7
2026-09-10T10:19:00Z,33.2,0.13,14.2,50.0,15.6
2026-09-10T10:20:00Z,33.2,0.12,13.8,30.1,15.6
2026-09-10T10:21:00Z,33.1,0.12,13.0,15.0,15.5
2026-09-10T10:22:00Z,33.0,0.11,12.5,0.0,15.5

